iter	Passed	Remaining
816	38387	8598
817	38428	8550
818	38473	8502
819	38512	8453
820	38554	8405
821	38593	8357
822	38637	8309
823	38676	8260
824	38718	8213
825	38759	8164
826	38802	8117
827	38853	8070
828	38895	8023
829	38934	7974
830	38975	7926
831	39017	7878
832	39059	7830
833	39100	7782
834	39142	7734
835	39186	7687
836	39223	7638
837	39271	7591
838	39310	7543
839	39351	7495
840	39395	7448
841	39436	7400
842	39480	7352
843	39521	7304
844	39561	7256
845	39603	7209
846	39642	7160
847	39689	7114
848	39729	7066
849	39769	7018
850	39816	6971
851	39854	6923
852	39893	6874
853	39937	6827
854	39978	6780
855	40021	6732
856	40061	6684
857	40108	6638
858	40159	6592
859	40198	6543
860	40243	6496
861	40283	6449
862	40323	6401
863	40365	6353
864	40403	6305
865	40446	6258
866	40492	6211
867	40532	6163
868	40573	6116
869	40613	6068
870	40660	6022
871	40699	5974
872	40740	5926
873	40781	5879
874	40819	5831
875	40859	5783
876	40906	5737
877	40946	5689
878	40990	5642
879	41031	5595
880	41069	5547
881	41113	5500
882	41157	5453
883	41199	5406
884	41239	5358
885	41278	5311
886	41331	5265
887	41370	5217
888	41413	5170
889	41456	5123
890	41495	5076
891	41538	5029
892	41578	4981
893	41622	4935
894	41661	4887
895	41704	4840
896	41745	4793
897	41786	4746
898	41827	4699
899	41874	4652
900	41913	4605
901	41961	4558
902	42001	4511
903	42041	4464
904	42094	4418
905	42140	4372
906	42182	4325
907	42225	4278
908	42268	4231
909	42308	4184
910	42347	4137
911	42389	4090
912	42428	4043
913	42476	3996
914	42517	3949
915	42558	3902
916	42602	3856
917	42640	3808
918	42681	3761
919	42725	3715
920	42767	3668
921	42808	3621
922	42847	3574
923	42891	3527
924	42934	3481
925	42973	3434
926	43018	3387
927	43056	3340
928	43096	3293
929	43137	3246
930	43178	3200
931	43218	3153
932	43258	3106
933	43306	3060
934	43350	3013
935	43391	2966
936	43432	2920
937	43474	2873
938	43513	2826
939	43554	2780
940	43595	2733
941	43635	2686
942	43683	2640
943	43725	2593
944	43767	2547
945	43811	2500
946	43851	2454
947	43894	2407
948	43934	2361
949	43976	2314
950	44013	2267
951	44051	2221
952	44102	2175
953	44146	2128
954	44188	2082
955	44232	2035
956	44270	1989
957	44313	1942
958	44354	1896
959	44397	1849
960	44434	1803
961	44480	1757
962	44529	1710
963	44569	1664
964	44613	1618
965	44652	1571
966	44692	1525
967	44735	1478
968	44777	1432
969	44818	1386
970	44857	1339
971	44906	1293
972	44948	1247
973	44988	1200
974	45030	1154
975	45071	1108
976	45111	1061
977	45155	1015
978	45197	969
979	45237	923
980	45282	877
981	45324	830
982	45366	784
983	45409	738
984	45450	692
985	45492	645
986	45534	599
987	45575	553
988	45612	507
989	45652	461
990	45698	415
991	45739	368
992	45782	322
993	45824	276
994	45861	230
995	45905	184
996	45943	138
997	45983	92
998	46025	46
999	46065	0
